posX,posY,posZ,width,height,length,final
1.5,-1.0,0.0,0.9,0.2,0.7,1
3.1,-0.3,0.0,0.6,0.2,0.4,0
4.4,0.4,0.0,0.8,0.2,0.9,0
5.6,1.2,0.0,0.5,0.2,0.5,0
6.9,1.7,0.0,0.7,0.2,0.3,0
8.1,2.4,0.0,0.6,0.2,0.8,0
9.4,2.9,0.0,0.5,0.2,0.6,0
10.6,2.2,0.0,0.9,0.2,0.4,0
11.9,1.7,0.0,0.6,0.2,0.7,0
13.1,1.1,0.0,0.5,0.2,0.5,0
14.3,0.4,0.0,0.8,0.2,0.3,0
15.6,-0.3,0.0,0.7,0.2,0.9,0
17.1,0.6,0.0,0.5,0.2,0.6,0
18.3,1.3,0.0,0.9,0.2,0.4,0
19.6,2.0,0.0,0.6,0.2,0.8,0
20.9,2.7,0.0,0.5,0.2,0.5,0
22.1,2.1,0.0,0.7,0.2,0.3,0
23.3,1.4,0.0,0.6,0.2,0.9,0
24.6,0.7,0.0,0.5,0.2,0.6,0
25.9,0.0,0.0,0.8,0.2,0.4,0
27.1,0.7,0.0,0.6,0.2,0.8,0
28.6,1.5,0.0,0.5,0.2,0.5,0
29.6,2.2,0.0,0.7,0.2,0.7,1
