posX,posY,posZ,width,height,length,final
3.000000,-2.236933,-0.293852,0.955096,0.3,0.678613,false
4.095444,-1.712340,-0.276684,0.986756,0.3,0.491029,false
4.827952,-1.777248,-0.358553,0.840282,0.3,0.725096,false
5.687119,-0.306813,-0.510340,0.973687,0.3,0.779320,false
6.731633,0.818630,-0.487628,0.975364,0.3,0.725788,false
7.824951,-0.064147,-0.422624,0.864685,0.3,0.766294,false
8.635144,1.189612,-0.507849,0.806924,0.3,0.653950,false
9.676503,2.074449,-0.081367,0.980322,0.3,0.415978,false
10.690015,2.592378,-0.082778,0.935377,0.3,0.754246,false
11.476044,1.548138,0.004536,0.866202,0.3,0.765546,false
12.229996,3.032239,0.042276,0.804508,0.3,0.426986,false
12.997772,3.943194,-0.054594,0.847283,0.3,0.511632,false
14.056978,3.694521,-0.067802,0.940795,0.3,0.427136,false
15.140172,3.399922,0.020802,0.851249,0.3,0.603559,false
16.041534,5.211348,-0.018945,0.973528,0.3,0.750028,false
17.109553,4.572003,0.029491,0.919799,0.3,0.511306,false
18.181966,6.108492,-0.037646,0.836890,0.3,0.577753,false
18.972885,5.537547,0.057405,0.942586,0.3,0.674729,false
20.044261,6.355085,-0.033913,0.845538,0.3,0.564282,false
20.796875,6.710674,0.535581,0.890339,0.3,0.667564,false
21.667447,7.834243,0.831956,0.938272,0.3,0.536088,false
22.698527,8.116644,0.771004,0.852423,0.3,0.525794,false
23.818853,8.286682,0.709293,0.885739,0.3,0.559761,false
24.730117,9.203732,0.649924,0.881253,0.3,0.616588,false
25.526519,9.373227,0.854370,0.892578,0.3,0.491261,false
26.513421,9.607473,0.771452,0.862510,0.3,0.657097,false
27.591361,10.000000,0.724129,0.898948,0.3,0.618098,true
