type,x,y,z,width,height,depth
platform,400,250,0,150,20,100
platform,600,320,0,180,20,100
platform,830,280,0,120,20,100
platform,1000,350,0,200,20,100
platform,1250,300,0,160,20,100
platform,1450,380,0,140,20,100
platform,1650,290,0,170,20,100
platform,1850,340,0,190,20,100
platform,2100,270,0,150,20,100
platform,2350,320,0,180,20,100
platform,2600,280,0,160,20,100
platform,2850,350,0,200,20,100
platform,3100,300,0,170,20,100
platform,3350,380,0,140,20,100
platform,3600,290,0,190,20,100
levelexit,3695,290,0,64,64,100
